DateTime,PlatformType,Speed_km_hr,Distance_1_sec,PlatformName,SymbologyCode,EstimatedPoints,BEARING,POINT_X,POINT_Y,POINT_Z,DateTimeSim,COUNTSim,ORIG_FID,Division,Qualification,Source,Battery
,2,6.000000000000000,1.666666666666667,"Gray, F",,11.223923617957917,0.000000000000000,-81.650511657292057,29.225429270919779,0.000000000000000,6/10/2025 8:30:45,2,1177,Division A,FFT1,ArcGIS,55
,1,75.000000000000000,20.833333333333332,Helo_1,,1041.024213156016913,210.963898031912095,-81.698831164160723,29.241093633121835,0.000000000000000,6/10/2025 8:30:45,2,1188,,,ADS-B,
,1,75.000000000000000,20.833333333333332,Helo_2,,739.644890110157348,170.537632578306443,-81.713779163726130,29.202826857713493,0.000000000000000,6/10/2025 8:30:45,2,2229,,,ADS-B,
,2,6.000000000000000,1.666666666666667,"Howard, N",,15.439341557172284,270.000000000000000,-81.650373083176333,29.225523853076488,0.000000000000000,6/10/2025 8:30:45,2,2968,Division A,CRWB,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"James, T",,14.756207249582630,324.462721912892732,-81.650366812935644,29.225594768077656,0.000000000000000,6/10/2025 8:30:45,2,2983,Division A,FFT1,ArcGIS,92
,2,6.000000000000000,1.666666666666667,"Johns, P",,71.129522073744042,356.422378960280582,-81.660694645840820,29.200888644874411,0.000000000000000,6/10/2025 8:30:45,2,2997,Division B,FFT2,ArcGIS,64
,2,6.000000000000000,1.666666666666667,"Kelly, S",,15.166414541234923,26.566588601930683,-81.650381018893555,29.225669023495382,0.000000000000000,6/10/2025 8:30:45,2,3068,Division A,DIVS,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"Morris, D",,111.055117718423773,209.054938169220748,-81.709275250741740,29.222237111501791,0.000000000000000,6/10/2025 8:30:45,2,3083,Division C,CRWB,ArcGIS,94
,2,6.000000000000000,1.666666666666667,"Nelson, Z",,122.218796477908967,331.928119764316534,-81.662082980434306,29.205148520986196,0.000000000000000,6/10/2025 8:30:45,2,3194,Division B,FFT1,ArcGIS,83
,2,6.000000000000000,1.666666666666667,"Parker, H",,115.051060115438574,319.084750804233522,-81.661291697619660,29.204864490424011,0.000000000000000,6/10/2025 8:30:45,2,3316,Division B,FFT1,ArcGIS,62
,2,6.000000000000000,1.666666666666667,"Perez, L",,96.236207436970574,338.962735795789797,-81.660934358579425,29.203942668496456,0.000000000000000,6/10/2025 8:30:45,2,3431,Division B,DIVS,ArcGIS,93
,2,6.000000000000000,1.666666666666667,"Peterson, Q",,17.482584263958525,26.566588601930683,-81.650385952441084,29.225733612604166,0.000000000000000,6/10/2025 8:30:45,2,3527,Division A,FFT2,ArcGIS,
,2,6.000000000000000,1.666666666666667,"Phillips, P",,96.893172269069808,0.000000000000000,-81.660399622033523,29.202737005696601,0.000000000000000,6/10/2025 8:30:45,2,3544,Division B,FFT1,ArcGIS,81
,2,6.000000000000000,1.666666666666667,"Ramirez, L",,22.442373375251503,14.930088481845317,-81.650378923123995,29.225799139290604,0.000000000000000,6/10/2025 8:30:45,2,3640,Division A,FFT1,ArcGIS,49
,2,6.000000000000000,1.666666666666667,"Reed, O",,95.336095388210722,169.381822996620201,-81.708644102507947,29.222744907035430,0.000000000000000,6/10/2025 8:30:45,2,3662,Division C,DIVS,ArcGIS,82
,2,6.000000000000000,1.666666666666667,"Richardson, E",,39.675289751446471,4.549522263678597,-81.650369963327350,29.225915332559161,0.000000000000000,6/10/2025 8:30:45,2,3757,Division A,FFT1,ArcGIS,83
,2,6.000000000000000,1.666666666666667,"Roberts, S",,102.412579713392844,3.181546323868702,-81.660663471605503,29.202197891157198,0.000000000000000,6/10/2025 8:30:45,2,3796,Division B,FFT1,ArcGIS,66
,2,6.000000000000000,1.666666666666667,"Rogers, J",,107.656554631060374,163.441681822582325,-81.709395465089685,29.224075744638633,0.000000000000000,6/10/2025 8:30:45,2,3898,Division C,FFT1,ArcGIS,73
,2,6.000000000000000,1.666666666666667,"Sanchez, W",,95.366172615094229,169.993414221605576,-81.709095982045312,29.225126665601817,0.000000000000000,6/10/2025 8:30:45,2,4005,Division C,FFT2,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"Turner, A",,59.428575269841538,35.537278139214465,-81.660685009612749,29.201630707605084,0.000000000000000,6/10/2025 8:30:45,2,4100,Division B,FFT2,ArcGIS,73
,2,6.000000000000000,1.666666666666667," Brooks, J",,9.911850762225356,351.869897627732598,-81.650440105581367,29.225444829481233,0.000000000000000,6/10/2025 8:30:46,3,2,Division A,FFT2,ArcGIS,85
,2,6.000000000000000,1.666666666666667,"Adams, M",,58.243619250421602,0.000000000000000,-81.660811347776004,29.200388307343356,0.000000000000000,6/10/2025 8:30:46,3,11,Division B,CRWB,External,93
,2,6.000000000000000,1.666666666666667,"Cook, V",,180.678778073161368,262.726591194271577,-81.709391790980177,29.219600544979645,0.000000000000000,6/10/2025 8:30:46,3,80,Division C,FFT1,ArcGIS,81
,2,6.000000000000000,1.666666666666667,"Cox, K",,9.309199220606649,331.699011408950071,-81.650478487000200,29.225568735785902,0.000000000000000,6/10/2025 8:30:46,3,260,Division A,FFT2,ArcGIS,78
,6,20.000000000000000,5.555555555555555,Dozer_1,,158.193175746992551,190.784249620416574,-81.716346071802718,29.198727440708236,0.000000000000000,6/10/2025 8:30:46,3,269,,,ArcGIS,93
,6,20.000000000000000,5.555555555555555,Dozer_2,,242.404520250345172,100.619401866120995,-81.706320984623034,29.180180524903545,0.000000000000000,6/10/2025 8:30:46,3,427,,,ArcGIS,98
,6,20.000000000000000,5.555555555555555,Dozer_3,,219.783725561004132,86.424115935031509,-81.674868489870775,29.176092158339014,0.000000000000000,6/10/2025 8:30:46,3,669,,,External,
,2,6.000000000000000,1.666666666666667,"Edwards, O",,99.667623025674317,267.795816164032090,-81.708450922501044,29.219914958088530,0.000000000000000,6/10/2025 8:30:46,3,888,Division C,,ArcGIS,77
,2,6.000000000000000,1.666666666666667,"Evans, L",,113.366157143084450,181.973630812114436,-81.707706804832071,29.221417519751316,0.000000000000000,6/10/2025 8:30:46,3,987,Division C,FFT2,External,67
,2,6.000000000000000,1.666666666666667,"Gonzalez, G",,78.975456677898720,335.226300050985117,-81.661882621091664,29.206161865436741,0.000000000000000,6/10/2025 8:30:46,3,1100,Division B,FFT2,ArcGIS,86
,2,6.000000000000000,1.666666666666667,"Gray, F",,11.223923617957917,0.000000000000000,-81.650511657292057,29.225442336473989,0.000000000000000,6/10/2025 8:30:46,3,1178,Division A,FFT1,ArcGIS,55
,1,75.000000000000000,20.833333333333332,Helo_1,,1041.024213156016913,210.963898031912095,-81.698927450982751,29.240953603086094,0.000000000000000,6/10/2025 8:30:46,3,1189,,,ADS-B,
,1,75.000000000000000,20.833333333333332,Helo_2,,739.644890110157348,170.537632578306443,-81.713748396427633,29.202665718874101,0.000000000000000,6/10/2025 8:30:46,3,2230,,,ADS-B,
,2,6.000000000000000,1.666666666666667,"Howard, N",,15.439341557172284,270.000000000000000,-81.650388054498862,29.225523853076488,0.000000000000000,6/10/2025 8:30:46,3,2969,Division A,CRWB,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"James, T",,14.756207249582630,324.462721912892732,-81.650375514915808,29.225605400972579,0.000000000000000,6/10/2025 8:30:46,3,2984,Division A,FFT1,ArcGIS,92
,2,6.000000000000000,1.666666666666667,"Johns, P",,71.129522073744042,356.422378960280582,-81.660695579190374,29.200901688465326,0.000000000000000,6/10/2025 8:30:46,3,2998,Division B,FFT2,ArcGIS,64
,2,6.000000000000000,1.666666666666667,"Kelly, S",,15.166414541234923,26.566588601930683,-81.650374323749745,29.225680710028520,0.000000000000000,6/10/2025 8:30:46,3,3069,Division A,DIVS,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"Morris, D",,111.055117718423773,209.054938169220748,-81.709282521705646,29.222225688780025,0.000000000000000,6/10/2025 8:30:46,3,3084,Division C,CRWB,ArcGIS,94
,2,6.000000000000000,1.666666666666667,"Nelson, Z",,122.218796477908967,331.928119764316534,-81.662090025921074,29.205160052252225,0.000000000000000,6/10/2025 8:30:46,3,3195,Division B,FFT1,ArcGIS,83
,2,6.000000000000000,1.666666666666667,"Parker, H",,115.051060115438574,319.084750804233522,-81.661301502730993,29.204874366440560,0.000000000000000,6/10/2025 8:30:46,3,3317,Division B,FFT1,ArcGIS,62
,2,6.000000000000000,1.666666666666667,"Perez, L",,96.236207436970574,338.962735795789797,-81.660939733199783,29.203954866407791,0.000000000000000,6/10/2025 8:30:46,3,3432,Division B,DIVS,ArcGIS,93
,2,6.000000000000000,1.666666666666667,"Peterson, Q",,17.482584263958525,26.566588601930683,-81.650379257297288,29.225745299130004,0.000000000000000,6/10/2025 8:30:46,3,3528,Division A,FFT2,ArcGIS,
,2,6.000000000000000,1.666666666666667,"Phillips, P",,96.893172269069808,0.000000000000000,-81.660399622033523,29.202750074144834,0.000000000000000,6/10/2025 8:30:46,3,3545,Division B,FFT1,ArcGIS,81
,2,6.000000000000000,1.666666666666667,"Ramirez, L",,22.442373375251503,14.930088481845317,-81.650375064859844,29.225811764211112,0.000000000000000,6/10/2025 8:30:46,3,3641,Division A,FFT1,ArcGIS,49
,2,6.000000000000000,1.666666666666667,"Reed, O",,95.336095388210722,169.381822996620201,-81.708641342883382,29.222732064572945,0.000000000000000,6/10/2025 8:30:46,3,3663,Division C,DIVS,ArcGIS,82
,2,6.000000000000000,1.666666666666667,"Richardson, E",,39.675289751446471,4.549522263678597,-81.650368775754544,29.225928357285351,0.000000000000000,6/10/2025 8:30:46,3,3758,Division A,FFT1,ArcGIS,83
,2,6.000000000000000,1.666666666666667,"Roberts, S",,102.412579713392844,3.181546323868702,-81.660662641562169,29.202210940070568,0.000000000000000,6/10/2025 8:30:46,3,3797,Division B,FFT1,ArcGIS,66
,2,6.000000000000000,1.666666666666667,"Rogers, J",,107.656554631060374,163.441681822582325,-81.709391198990403,29.224063220636872,0.000000000000000,6/10/2025 8:30:46,3,3899,Division C,FFT1,ArcGIS,73
,2,6.000000000000000,1.666666666666667,"Sanchez, W",,95.366172615094229,169.993414221605576,-81.709093379625941,29.225113798351032,0.000000000000000,6/10/2025 8:30:46,3,4006,Division C,FFT2,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"Turner, A",,59.428575269841538,35.537278139214465,-81.660676306734274,29.201641342987138,0.000000000000000,6/10/2025 8:30:46,3,4101,Division B,FFT2,ArcGIS,73
,2,6.000000000000000,1.666666666666667," Brooks, J",,9.911850762225356,351.869897627732598,-81.650442220215552,29.225457764895374,0.000000000000000,6/10/2025 8:30:47,4,3,Division A,FFT2,ArcGIS,85
,2,6.000000000000000,1.666666666666667,"Adams, M",,58.243619250421602,0.000000000000000,-81.660811347776004,29.200401376875131,0.000000000000000,6/10/2025 8:30:47,4,12,Division B,CRWB,External,93
,2,6.000000000000000,1.666666666666667,"Cook, V",,180.678778073161368,262.723180963669847,-81.709406641928453,29.219598889936020,0.000000000000000,6/10/2025 8:30:47,4,81,Division C,FFT1,ArcGIS,81
,2,6.000000000000000,1.666666666666667,"Cox, K",,9.309199220606649,331.700408423470435,-81.650485585487573,29.225580240450970,0.000000000000000,6/10/2025 8:30:47,4,261,Division A,FFT2,ArcGIS,78
,6,20.000000000000000,5.555555555555555,Dozer_1,,158.193175746992551,190.784056646881112,-81.716355409790097,29.198684645461565,0.000000000000000,6/10/2025 8:30:47,4,270,,,ArcGIS,93
,6,20.000000000000000,5.555555555555555,Dozer_2,,242.404520250345172,100.619401866120995,-81.706271933015273,29.180172495129298,0.000000000000000,6/10/2025 8:30:47,4,428,,,ArcGIS,98
,6,20.000000000000000,5.555555555555555,Dozer_3,,219.783725561004132,86.424180258357978,-81.674818680983222,29.176094876084122,0.000000000000000,6/10/2025 8:30:47,4,670,,,External,
,2,6.000000000000000,1.666666666666667,"Edwards, O",,99.667623025674317,267.795948632885370,-81.708465883043786,29.219914455540103,0.000000000000000,6/10/2025 8:30:47,4,889,Division C,,ArcGIS,77
,2,6.000000000000000,1.666666666666667,"Evans, L",,113.366157143084450,181.973630867287682,-81.707707320465033,29.221404461523615,0.000000000000000,6/10/2025 8:30:47,4,988,Division C,FFT2,External,67
,2,6.000000000000000,1.666666666666667,"Gonzalez, G",,78.975456677898720,335.226299943657864,-81.661888894925596,29.206173731404537,0.000000000000000,6/10/2025 8:30:47,4,1101,Division B,FFT2,ArcGIS,86
,2,6.000000000000000,1.666666666666667,"Gray, F",,11.223923617957917,0.000000000000000,-81.650511657292057,29.225455402810464,0.000000000000000,6/10/2025 8:30:47,4,1179,Division A,FFT1,ArcGIS,55
,1,75.000000000000000,20.833333333333332,Helo_1,,1041.024213156016913,210.963756528559429,-81.699023738703104,29.240813573642626,0.000000000000000,6/10/2025 8:30:47,4,1190,,,ADS-B,
,1,75.000000000000000,20.833333333333332,Helo_2,,739.644890110157348,170.537632579990770,-81.713717630027489,29.202504578997328,0.000000000000000,6/10/2025 8:30:47,4,2231,,,ADS-B,
,2,6.000000000000000,1.666666666666667,"Howard, N",,15.439341557172284,314.343414428798496,-81.650403026719701,29.225523853076488,0.000000000000000,6/10/2025 8:30:47,4,2970,Division A,CRWB,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"James, T",,14.756207249582630,324.464719821430663,-81.650384006690189,29.225616150676952,0.000000000000000,6/10/2025 8:30:47,4,2985,Division A,FFT1,ArcGIS,92
,2,6.000000000000000,1.666666666666667,"Johns, P",,71.129522073744042,356.425810100870081,-81.660696513438282,29.200914732838822,0.000000000000000,6/10/2025 8:30:47,4,2999,Division B,FFT2,ArcGIS,64
,2,6.000000000000000,1.666666666666667,"Kelly, S",,15.166414541234923,26.563513710970263,-81.650367627707610,29.225692396560337,0.000000000000000,6/10/2025 8:30:47,4,3070,Division A,DIVS,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"Morris, D",,111.055117718423773,209.054937988852942,-81.709289792669551,29.222214266840997,0.000000000000000,6/10/2025 8:30:47,4,3085,Division C,CRWB,ArcGIS,94
,2,6.000000000000000,1.666666666666667,"Nelson, Z",,122.218796477908967,331.926501924021238,-81.662097071407871,29.205171583516943,0.000000000000000,6/10/2025 8:30:47,4,3196,Division B,FFT1,ArcGIS,83
,2,6.000000000000000,1.666666666666667,"Parker, H",,115.051060115438574,319.087348783379412,-81.661311308740636,29.204884241671980,0.000000000000000,6/10/2025 8:30:47,4,3318,Division B,FFT1,ArcGIS,62
,2,6.000000000000000,1.666666666666667,"Perez, L",,96.236207436970574,338.961501625240317,-81.660945107820112,29.203967063533465,0.000000000000000,6/10/2025 8:30:47,4,3433,Division B,DIVS,ArcGIS,93
,2,6.000000000000000,1.666666666666667,"Peterson, Q",,17.482584263958525,26.563513596428201,-81.650372561255168,29.225756985654442,0.000000000000000,6/10/2025 8:30:47,4,3529,Division A,FFT2,ArcGIS,
,2,6.000000000000000,1.666666666666667,"Phillips, P",,96.893172269069808,0.000000000000000,-81.660399622033523,29.202763143375485,0.000000000000000,6/10/2025 8:30:47,4,3546,Division B,FFT1,ArcGIS,81
,2,6.000000000000000,1.666666666666667,"Ramirez, L",,22.442373375251503,14.933410181451734,-81.650371207494018,29.225824389130040,0.000000000000000,6/10/2025 8:30:47,4,3642,Division A,FFT1,ArcGIS,49
,2,6.000000000000000,1.666666666666667,"Reed, O",,95.336095388210722,169.381823043816723,-81.708638584157143,29.222719221324866,0.000000000000000,6/10/2025 8:30:47,4,3664,Division C,DIVS,ArcGIS,82
,2,6.000000000000000,1.666666666666667,"Richardson, E",,39.675289751446471,4.549522263678597,-81.650367588181737,29.225941382009953,0.000000000000000,6/10/2025 8:30:47,4,3759,Division A,FFT1,ArcGIS,83
,2,6.000000000000000,1.666666666666667,"Roberts, S",,102.412579713392844,3.178113938563357,-81.660661810620539,29.202223988982272,0.000000000000000,6/10/2025 8:30:47,4,3798,Division B,FFT1,ArcGIS,66
,2,6.000000000000000,1.666666666666667,"Rogers, J",,107.656554631060374,163.441681895575442,-81.709386931992810,29.224050695849662,0.000000000000000,6/10/2025 8:30:47,4,3900,Division C,FFT1,ArcGIS,73
,2,6.000000000000000,1.666666666666667,"Sanchez, W",,95.366172615094229,169.993414221605576,-81.709090778104880,29.225100931098620,0.000000000000000,6/10/2025 8:30:47,4,4007,Division C,FFT2,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"Turner, A",,59.428575269841538,35.538077441060423,-81.660667604754110,29.201651977584007,0.000000000000000,6/10/2025 8:30:47,4,4102,Division B,FFT2,ArcGIS,73
,2,6.000000000000000,1.666666666666667," Brooks, J",,9.911850762225356,351.880593152067888,-81.650444199204131,29.225470715987097,0.000000000000000,6/10/2025 8:30:48,5,4,Division A,FFT2,ArcGIS,85
,2,6.000000000000000,1.666666666666667,"Adams, M",,58.243619250421602,0.000000000000000,-81.660811347776004,29.200414446405222,0.000000000000000,6/10/2025 8:30:48,5,13,Division B,CRWB,External,93
,2,6.000000000000000,1.666666666666667,"Cook, V",,180.678778073161368,262.727026677775257,-81.709421493775039,29.219597235676442,0.000000000000000,6/10/2025 8:30:48,5,82,Division C,FFT1,ArcGIS,81
,2,6.000000000000000,1.666666666666667,"Cox, K",,9.309199220606649,331.699011465327203,-81.650489377276372,29.225592831688040,0.000000000000000,6/10/2025 8:30:48,5,262,Division A,FFT2,ArcGIS,78
,6,20.000000000000000,5.555555555555555,Dozer_1,,158.193175746992551,190.785262731750493,-81.716364747777476,29.198641850196996,0.000000000000000,6/10/2025 8:30:48,5,271,,,ArcGIS,93
,6,20.000000000000000,5.555555555555555,Dozer_2,,242.404520250345172,100.619401866120995,-81.706222881407498,29.180164465354441,0.000000000000000,6/10/2025 8:30:48,5,429,,,ArcGIS,98
,6,20.000000000000000,5.555555555555555,Dozer_3,,219.783725561004132,86.424180258357978,-81.674768872095669,29.176097594613569,0.000000000000000,6/10/2025 8:30:48,5,671,,,External,
,2,6.000000000000000,1.666666666666667,"Edwards, O",,99.667623025674317,267.799251500002526,-81.708480843586528,29.219913953775745,0.000000000000000,6/10/2025 8:30:48,5,890,Division C,,ArcGIS,77
,2,6.000000000000000,1.666666666666667,"Evans, L",,113.366157143084450,181.973630812114436,-81.707707836996320,29.221391402510321,0.000000000000000,6/10/2025 8:30:48,5,989,Division C,FFT2,External,67
,2,6.000000000000000,1.666666666666667,"Gonzalez, G",,78.975456677898720,335.226299943657864,-81.661895168759557,29.206185597371011,0.000000000000000,6/10/2025 8:30:48,5,1102,Division B,FFT2,ArcGIS,86
,2,6.000000000000000,1.666666666666667,"Gray, F",,11.223923617957917,0.000000000000000,-81.650509981934064,29.225468337439303,0.000000000000000,6/10/2025 8:30:48,5,1180,Division A,FFT1,ArcGIS,55
,1,75.000000000000000,20.833333333333332,Helo_1,,1041.024213156016913,210.963898031912095,-81.699120026423472,29.240673544007585,0.000000000000000,6/10/2025 8:30:48,5,1191,,,ADS-B,
,1,75.000000000000000,20.833333333333332,Helo_2,,739.644890110157348,170.537587364210367,-81.713686862728991,29.202343438867164,0.000000000000000,6/10/2025 8:30:48,5,2232,,,ADS-B,
,2,6.000000000000000,1.666666666666667,"Howard, N",,15.439341557172284,314.343414428798496,-81.650412501251012,29.225531934176416,0.000000000000000,6/10/2025 8:30:48,5,2971,Division A,CRWB,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"James, T",,14.756207249582630,325.417769978845001,-81.650391434859287,29.225627495408208,0.000000000000000,6/10/2025 8:30:48,5,2986,Division A,FFT1,ArcGIS,92
,2,6.000000000000000,1.666666666666667,"Johns, P",,71.129522073744042,356.422593471269522,-81.660697447686175,29.200927776426465,0.000000000000000,6/10/2025 8:30:48,5,3000,Division B,FFT2,ArcGIS,64
,2,6.000000000000000,1.666666666666667,"Kelly, S",,15.166414541234923,26.566588601930683,-81.650360932563800,29.225704083090818,0.000000000000000,6/10/2025 8:30:48,5,3071,Division A,DIVS,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"Morris, D",,111.055117718423773,209.053268485637886,-81.709297063633457,29.222202844900682,0.000000000000000,6/10/2025 8:30:48,5,3086,Division C,CRWB,ArcGIS,94
,2,6.000000000000000,1.666666666666667,"Nelson, Z",,122.218796477908967,331.926501924021238,-81.662104117792950,29.205183114780379,0.000000000000000,6/10/2025 8:30:48,5,3197,Division B,FFT1,ArcGIS,83
,2,6.000000000000000,1.666666666666667,"Parker, H",,115.051060115438574,319.087348783379412,-81.661321113851969,29.204894117686631,0.000000000000000,6/10/2025 8:30:48,5,3319,Division B,FFT1,ArcGIS,62
,2,6.000000000000000,1.666666666666667,"Perez, L",,96.236207436970574,338.961501625240317,-81.660950482440470,29.203979261441912,0.000000000000000,6/10/2025 8:30:48,5,3434,Division B,DIVS,ArcGIS,93
,2,6.000000000000000,1.666666666666667,"Peterson, Q",,17.482584263958525,26.566588601930683,-81.650365866111343,29.225768672177558,0.000000000000000,6/10/2025 8:30:48,5,3530,Division A,FFT2,ArcGIS,
,2,6.000000000000000,1.666666666666667,"Phillips, P",,96.893172269069808,0.000000000000000,-81.660399622033523,29.202776212604494,0.000000000000000,6/10/2025 8:30:48,5,3547,Division B,FFT1,ArcGIS,81
,2,6.000000000000000,1.666666666666667,"Ramirez, L",,22.442373375251503,14.930088543716693,-81.650367350128192,29.225837014047482,0.000000000000000,6/10/2025 8:30:48,5,3643,Division A,FFT1,ArcGIS,49
,2,6.000000000000000,1.666666666666667,"Reed, O",,95.336095388210722,169.378444099444835,-81.708635824532607,29.222706378859165,0.000000000000000,6/10/2025 8:30:48,5,3665,Division C,DIVS,ArcGIS,82
,2,6.000000000000000,1.666666666666667,"Richardson, E",,39.675289751446471,4.549522179529973,-81.650366399710620,29.225954407516806,0.000000000000000,6/10/2025 8:30:48,5,3760,Division A,FFT1,ArcGIS,83
,2,6.000000000000000,1.666666666666667,"Roberts, S",,102.412579713392844,3.178113874628679,-81.660660980577219,29.202237037892306,0.000000000000000,6/10/2025 8:30:48,5,3799,Division B,FFT1,ArcGIS,66
,2,6.000000000000000,1.666666666666667,"Rogers, J",,107.656554631060374,163.444976893298303,-81.709382665893514,29.224038171844899,0.000000000000000,6/10/2025 8:30:48,5,3901,Division C,FFT1,ArcGIS,73
,2,6.000000000000000,1.666666666666667,"Sanchez, W",,95.366172615094229,169.990028784853678,-81.709088175685494,29.225088063844602,0.000000000000000,6/10/2025 8:30:48,5,4008,Division C,FFT2,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"Turner, A",,59.428575269841538,35.537278087107275,-81.660658902773974,29.201662612179764,0.000000000000000,6/10/2025 8:30:48,5,4103,Division B,FFT2,ArcGIS,73
,2,6.000000000000000,1.666666666666667," Brooks, J",,9.911850762225356,352.404220711239191,-81.650446177294370,29.225483667861219,0.000000000000000,6/10/2025 8:30:49,6,5,Division A,FFT2,ArcGIS,85
,2,6.000000000000000,1.666666666666667,"Adams, M",,58.243619250421602,0.000000000000000,-81.660811347776004,29.200427515149556,0.000000000000000,6/10/2025 8:30:49,6,14,Division B,CRWB,External,93
,2,6.000000000000000,1.666666666666667,"Cook, V",,180.678778073161368,262.723180971780721,-81.709436344723315,29.219595580632767,0.000000000000000,6/10/2025 8:30:49,6,83,Division C,FFT1,ArcGIS,81
,2,6.000000000000000,1.666666666666667,"Cox, K",,9.309199220606649,345.275052005400369,-81.650492744162065,29.225605563252980,0.000000000000000,6/10/2025 8:30:49,6,263,Division A,FFT2,ArcGIS,78
,6,20.000000000000000,5.555555555555555,Dozer_1,,158.193175746992551,190.784056661258262,-81.716374085764855,29.198599054130366,0.000000000000000,6/10/2025 8:30:49,6,272,,,ArcGIS,93
,6,20.000000000000000,5.555555555555555,Dozer_2,,242.404520250345172,100.619401866120995,-81.706173829799724,29.180156435578944,0.000000000000000,6/10/2025 8:30:49,6,430,,,ArcGIS,98
,6,20.000000000000000,5.555555555555555,Dozer_3,,219.783725561004132,86.424180258357978,-81.674719062309791,29.176100312358589,0.000000000000000,6/10/2025 8:30:49,6,672,,,External,
,2,6.000000000000000,1.666666666666667,"Edwards, O",,99.667623025674317,267.795816419979815,-81.708495805027582,29.219913451227356,0.000000000000000,6/10/2025 8:30:49,6,891,Division C,,ArcGIS,77
,2,6.000000000000000,1.666666666666667,"Evans, L",,113.366157143084450,181.977185124102647,-81.707708352629311,29.221378343495278,0.000000000000000,6/10/2025 8:30:49,6,990,Division C,FFT2,External,67
,2,6.000000000000000,1.666666666666667,"Gonzalez, G",,78.975456677898720,335.223178798753679,-81.661901442593503,29.206197462551987,0.000000000000000,6/10/2025 8:30:49,6,1103,Division B,FFT2,ArcGIS,86
,2,6.000000000000000,1.666666666666667,"Gray, F",,11.223923617957917,6.449176886811770,-81.650507304056191,29.225481192102073,0.000000000000000,6/10/2025 8:30:49,6,1181,Division A,FFT1,ArcGIS,55
,1,75.000000000000000,20.833333333333332,Helo_1,,1041.024213156016913,210.963662200079057,-81.699216313245515,29.240533513397093,0.000000000000000,6/10/2025 8:30:49,6,1192,,,ADS-B,
,1,75.000000000000000,20.833333333333332,Helo_2,,739.644890110157348,170.537903860492406,-81.713656095430522,29.202182298483763,0.000000000000000,6/10/2025 8:30:49,6,2233,,,ADS-B,
,2,6.000000000000000,1.666666666666667,"Howard, N",,15.439341557172284,314.343414428798496,-81.650419670705276,29.225543405135134,0.000000000000000,6/10/2025 8:30:49,6,2972,Division A,CRWB,ArcGIS,67
,2,6.000000000000000,1.666666666666667,"James, T",,14.756207249582630,330.255545079992089,-81.650398863028357,29.225638840138192,0.000000000000000,6/10/2025 8:30:49,6,2987,Division A,FFT1,ArcGIS,92
